mart_1.id,mart_1.price,mart_1.district,mart_1.rooms,mart_1.total_area,mart_1.current_floor,mart_1.max_floor,mart_1.build_year,mart_1.bath,mart_1.repair,mart_1.window_type,mart_1.places_total
1105,7400000,Московский поселение,1.0,32.0,1,17,2021.0,1 совмещенный,,На улицу,5
1113,7552500,Люблино,1.0,,7,9,1980.0,1 совмещенный,Косметический,Во двор,0
1117,5191000,Новофедоровское поселение,1.0,,1,3,2022.0,1 совмещенный,Без ремонта,На улицу и двор,0
1143,4900000,Новофедоровское поселение,1.0,,3,3,2021.0,1 совмещенный,Без ремонта,Во двор,0
1152,5790000,Филимонковское поселение,1.0,,1,4,2021.0,1 совмещенный,Без ремонта,Во двор,0
1166,5730000,Рязановское поселение,1.0,,2,5,1987.0,,,,15
1184,5750000,Новофедоровское поселение,1.0,,3,3,2021.0,1 совмещенный,Без ремонта,,0
1199,6570000,Десеновское поселение,1.0,,14,18,2022.0,1 совмещенный,Без ремонта,,0
1202,6550000,Десеновское поселение,1.0,,10,17,2022.0,1 совмещенный,Косметический,Во двор,0
1215,6700000,Перово,1.0,,4,5,1964.0,1 совмещенный,Без ремонта,На улицу,0
1221,9000000,Бирюлево Восточное,1.0,,10,16,2004.0,1 раздельный,Косметический,Во двор,0
1229,8989000,Северное Тушино,1.0,,5,9,1967.0,,Косметический,Во двор,0
1264,8470000,Братеево,1.0,,2,14,1986.0,1 раздельный,Косметический,Во двор,0
1266,8500000,Сосенское поселение,1.0,35.0,4,14,2021.0,1 совмещенный,Евроремонт,Во двор,0
1270,8300000,Бирюлево Восточное,1.0,39.0,2,12,1983.0,1 раздельный,,На улицу,0
1283,9000000,Выхино-Жулебино,1.0,34.0,9,9,1968.0,1 совмещенный,Дизайнерский,Во двор,1
1293,9000000,Марьино,1.0,,16,16,2000.0,1 раздельный,Дизайнерский,Во двор,0
1298,9000000,Орехово-Борисово Южное,1.0,35.0,5,9,1978.0,1 раздельный,Евроремонт,На улицу и двор,0
1316,8200000,Сокол,1.0,18.0,1,6,1950.0,1 совмещенный,Без ремонта,На улицу,0
1326,8700000,Бибирево,1.0,,9,16,1978.0,1 раздельный,Косметический,Во двор,1
1330,8700000,Чертаново Северное,1.0,,9,17,1988.0,1 совмещенный,Косметический,,0
1342,8300000,Текстильщики,1.0,31.0,5,12,1988.0,1 совмещенный,Косметический,,0
1347,8500000,Орехово-Борисово Южное,1.0,39.0,5,17,1986.0,1 совмещенный,Косметический,Во двор,0
1376,8255000,Московский,1.0,,3,25,2023.0,,Без ремонта,,0
1403,8200000,Люблино,1.0,30.0,1,9,1969.0,1 совмещенный,Косметический,На улицу,0
1425,8000000,Печатники,1.0,35.0,9,12,1977.0,1 совмещенный,Косметический,Во двор,0
1433,8590000,Люблино,1.0,,5,12,2003.0,1 раздельный,Косметический,Во двор,0
1436,8290000,Восточное Дегунино,1.0,,6,9,1977.0,1 раздельный,Косметический,Во двор,0
1454,8300000,Лефортово,1.0,,4,9,1975.0,1 совмещенный,Косметический,Во двор,0
1479,8300000,Текстильщики,1.0,,2,9,1970.0,1 совмещенный,Без ремонта,Во двор,0
1516,8180000,Перово,1.0,,2,5,1960.0,1 совмещенный,Косметический,На улицу,0
1518,8400000,Царицыно,1.0,32.0,5,5,1964.0,1 совмещенный,Без ремонта,Во двор,1
1571,8500000,Сосенское поселение,1.0,,3,15,2022.0,,Без ремонта,На улицу и двор,0
1581,8450000,Измайлово,1.0,29.0,2,8,1959.0,1 совмещенный,Косметический,Во двор,0
1596,8000000,Десеновское поселение,1.0,,15,19,2015.0,1 совмещенный,Косметический,,15
1602,8100000,Крюково,1.0,,11,17,,1 совмещенный,,Во двор,0
1613,8000000,Рязановское поселение,1.0,,13,14,2021.0,1 совмещенный,Евроремонт,,0
1614,8500000,Некрасовка,1.0,38.0,12,17,2010.0,1 совмещенный,Косметический,На улицу,0
1654,8499000,Десеновское поселение,1.0,38.0,12,15,2021.0,1 совмещенный,Евроремонт,Во двор,0
1662,8400000,Вешняки,1.0,32.0,3,9,1971.0,,Косметический,,0
1671,8500000,Московский,1.0,40.0,17,17,2008.0,1 совмещенный,Косметический,Во двор,4
1680,8350000,Северное Измайлово,1.0,34.0,2,5,1960.0,1 раздельный,Косметический,,0
1683,8350000,Люблино,1.0,,6,10,2003.0,,,Во двор,0
1684,8300000,Рязановское поселение,1.0,36.0,5,12,,1 совмещенный,Косметический,Во двор,0
1687,8200000,Некрасовка,1.0,38.0,9,17,2010.0,1 совмещенный,Косметический,Во двор,0
1700,8000000,Чертаново Северное,1.0,,1,9,1969.0,1 совмещенный,Евроремонт,Во двор,0
1701,8300000,Силино,1.0,,19,22,1981.0,1 совмещенный,Косметический,На улицу,1
1707,8350000,Можайский,1.0,,4,12,1965.0,1 совмещенный,Косметический,Во двор,0
1720,8000000,Сосенское поселение,1.0,37.0,8,17,2021.0,1 совмещенный,Евроремонт,Во двор,0
1725,8300000,Лосиноостровский,1.0,,9,9,1969.0,1 совмещенный,Евроремонт,Во двор,0
1732,8200000,Ярославский,1.0,,13,14,1970.0,1 совмещенный,Косметический,,0
1733,8300000,Некрасовка,1.0,,7,17,2021.0,1 совмещенный,Косметический,Во двор,0
1735,8399999,Алтуфьевский,1.0,37.0,1,9,1969.0,1 раздельный,,Во двор,0
1739,8490000,Рязановское поселение,1.0,,9,15,2021.0,1 совмещенный,Евроремонт,На улицу,0
1740,8000000,Дмитровский,1.0,30.0,3,9,1968.0,1 совмещенный,Косметический,,0
1742,8399999,Щербинка,1.0,,2,20,2008.0,1 совмещенный,Косметический,Во двор,1
1743,8200000,Вешняки,1.0,33.0,2,9,1971.0,1 совмещенный,Косметический,На улицу,0
1759,8200000,Некрасовка,1.0,,16,17,2019.0,1 совмещенный,Косметический,,0
1764,8500000,Богородское,1.0,,5,9,1966.0,1 совмещенный,Евроремонт,На улицу,0
1784,8500000,Алтуфьевский,1.0,,1,9,1969.0,1 раздельный,Без ремонта,Во двор,0
1796,8500000,Фили-Давыдково,1.0,,1,5,1959.0,,Косметический,Во двор,0
1805,9500000,Северное Медведково,1.0,38.0,10,16,1983.0,1 совмещенный,Косметический,Во двор,0
1808,9800000,Орехово-Борисово Северное,1.0,,7,12,1975.0,1 совмещенный,Евроремонт,На улицу,0
1814,9300000,Кунцево,1.0,,25,25,,,Косметический,,0
1825,9150000,Люблино,1.0,38.0,2,17,1999.0,1 совмещенный,Евроремонт,На улицу,0
1826,9400000,Можайский,1.0,35.0,5,12,1967.0,1 совмещенный,Косметический,Во двор,0
1842,9950000,Северное Измайлово,1.0,32.0,6,9,1969.0,,Евроремонт,,0
1848,9800000,Богородское,1.0,32.0,3,5,1964.0,,Дизайнерский,Во двор,0
1857,9900000,Северное Медведково,1.0,,1,17,2002.0,,Косметический,На улицу и двор,0
1858,9800000,Внуковское поселение,1.0,39.0,5,17,2019.0,1 совмещенный,Евроремонт,На улицу,0
1859,9100000,Ново-Переделкино,1.0,,1,14,1991.0,1 раздельный,Косметический,Во двор,0
1863,9400000,Косино-Ухтомский,1.0,39.0,2,9,2004.0,1 раздельный,Косметический,Во двор,0
1866,9500000,Южное Бутово,1.0,,9,15,2009.0,,Косметический,,0
1870,9200000,Южное Бутово,1.0,,9,17,1994.0,1 совмещенный,Косметический,Во двор,0
1873,9600000,Хорошево-Мневники,1.0,,5,5,1961.0,1 совмещенный,Косметический,Во двор,0
1878,9800000,Внуковское поселение,1.0,,2,17,2017.0,1 совмещенный,Евроремонт,Во двор,0
1881,9500000,Зябликово,1.0,,22,22,1985.0,1 раздельный,Косметический,На улицу,0
1890,9100000,Сосенское поселение,1.0,,7,16,,1 совмещенный,Без ремонта,На улицу,0
1902,9500000,Солнцево,1.0,,13,22,1998.0,1 совмещенный, 1 раздельный,Косметический,0
1926,9250000,Бибирево,1.0,,4,22,1984.0,1 раздельный,Косметический,,1
1927,9150000,Орехово-Борисово Южное,1.0,38.0,7,16,1984.0,,Косметический,,0
1939,9400000,Отрадное,1.0,38.0,14,16,1975.0,1 совмещенный,Косметический,,0
1961,10000000,Западное Дегунино,1.0,,28,33,,,Евроремонт,Во двор,0
1965,9950000,Алексеевский,1.0,,1,5,1959.0,,Евроремонт,Во двор,0
1970,9600000,Строгино,1.0,33.0,9,9,1979.0,1 раздельный,Без ремонта,Во двор,0
1995,9200000,Тимирязевский,1.0,,1,9,1966.0,1 совмещенный,Косметический,На улицу,0
1999,9500000,Коммунарка поселок,1.0,,7,17,2013.0,1 совмещенный,Косметический,На улицу,0
2005,9800000,Коммунарка поселок,1.0,,2,15,,1 совмещенный,Без ремонта,На улицу,1
