mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
173,5800000.0,Рязановское поселение,,20.0,6.0,16.0,,1 совмещенный,Косметический,
174,6350000.0,Рязановское поселение,,24.0,13.0,13.0,2021.0,1 совмещенный,Евроремонт,Во двор
175,6300000.0,Десеновское поселение,,,3.0,17.0,2022.0,1 совмещенный,Косметический,Во двор
176,5300000.0,Краснопахорское поселение,,29.0,1.0,3.0,,1 совмещенный,Дизайнерский,Во двор
177,5900000.0,ш. Рязановское,,,13.0,13.0,2021.0,1 совмещенный,Косметический,На улицу
178,6300000.0,Рязановское поселение,,25.0,14.0,14.0,2020.0,1 совмещенный,Косметический,На улицу
179,6150000.0,Рязановское поселение,,24.0,3.0,12.0,2021.0,1 совмещенный,Косметический,Во двор
180,5800000.0,Рязановское поселение,,27.0,8.0,14.0,2022.0,1 совмещенный,Евроремонт,Во двор
181,4250000.0,Отрадное,,,1.0,12.0,1976.0,1 совмещенный,Косметический,Во двор
182,6100000.0,Некрасовка,,,14.0,18.0,,1 совмещенный,Евроремонт,Во двор
183,4800000.0,Отрадное,,,1.0,12.0,1976.0,1 совмещенный,Косметический,Во двор
184,6300000.0,Рязановское поселение,,,8.0,12.0,2021.0,1 совмещенный,Косметический,Во двор
185,6000000.0,Крюково,,,3.0,18.0,2017.0,1 совмещенный,Евроремонт,Во двор
186,5300000.0,Очаково-Матвеевское,,19.0,9.0,12.0,1976.0,1 раздельный,Без ремонта,На улицу
187,6499999.0,Филимонковское поселение,,30.0,7.0,9.0,,1 совмещенный,Евроремонт,На улицу
188,5200000.0,Филимонковское поселение,,,2.0,4.0,2020.0,1 совмещенный,Без ремонта,
189,6750000.0,Текстильщики,,,4.0,21.0,,1 совмещенный,Косметический,Во двор
190,6700000.0,Текстильщики,,,5.0,23.0,,1 совмещенный,Евроремонт,Во двор
191,6650000.0,Десеновское поселение,,29.0,9.0,17.0,2022.0,1 совмещенный,Евроремонт,Во двор
192,6700000.0,Московский поселение,,,17.0,22.0,2022.0,1 совмещенный,Без ремонта,
193,6700000.0,Сосенское поселение,,,11.0,18.0,2022.0,1 совмещенный,Без ремонта,
194,6650000.0,Коммунарка поселок,,,11.0,18.0,2017.0,1 совмещенный,Евроремонт,Во двор
195,6600000.0,Московский поселение,,25.0,17.0,22.0,2022.0,1 совмещенный,Без ремонта,На улицу
196,6710000.0,Кузьминки,,,2.0,5.0,1971.0,1 совмещенный,Евроремонт,На улицу
197,6699000.0,Филимонковское поселение,,,8.0,9.0,,1 совмещенный,Косметический,Во двор
198,6600000.0,Филимонковское поселение,,22.0,4.0,9.0,,1 совмещенный,Евроремонт,На улицу
199,6990000.0,Сосенское поселение,,,7.0,18.0,2022.0,1 совмещенный,Без ремонта,Во двор
200,6950000.0,Рязановское поселение,,28.0,-2.0,12.0,2020.0,1 совмещенный,Евроремонт,Во двор
201,6900000.0,Сосенское поселение,,,12.0,18.0,2022.0,,Без ремонта,Во двор
202,6870000.0,Рязановское поселение,,24.0,7.0,17.0,,1 совмещенный,Евроремонт,Во двор
203,6800000.0,Сосенское поселение,,,1.0,13.0,2019.0,1 совмещенный,Косметический,
204,6850000.0,Рязановское поселение,,28.0,2.0,12.0,2020.0,1 совмещенный,Евроремонт,
205,6850000.0,Филимонковское поселение,,30.0,7.0,12.0,2019.0,1 совмещенный,Евроремонт,Во двор
206,6900000.0,Крюково,,,4.0,16.0,2017.0,1 совмещенный,Евроремонт,На улицу
207,6800000.0,Сосенское поселение,,32.0,5.0,12.0,2021.0,1 совмещенный,Без ремонта,Во двор
208,6800000.0,Десеновское поселение,,28.0,5.0,14.0,2021.0,1 совмещенный,Косметический,Во двор
